strength,emotional_score,coherence_score,response_length,model,emotion,method
0.55,7.83,5.67,66.17,Llama-3.1-8B-Instruct,KIND,KCS
0.6,7.5,4.83,67.83,Llama-3.1-8B-Instruct,KIND,KCS
0.7,6.0,4.33,61.0,Llama-3.1-8B-Instruct,KIND,KCS
0.8,5.67,2.67,66.33,Llama-3.1-8B-Instruct,KIND,KCS
0.9,4.83,2.5,72.0,Llama-3.1-8B-Instruct,KIND,KCS
1.0,5.33,2.5,75.67,Llama-3.1-8B-Instruct,KIND,KCS
1.2,4.17,2.0,79.67,Llama-3.1-8B-Instruct,KIND,KCS
0.0,5.0,8.83,65.67,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.1,5.0,8.67,60.5,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.2,5.17,8.17,58.5,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.3,6.0,8.5,61.83,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.35,6.83,7.67,50.0,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.4,6.67,8.33,56.33,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.45,6.83,7.67,45.17,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.5,6.5,6.0,47.67,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.55,6.17,4.83,48.33,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.6,6.67,5.0,38.33,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.7,7.0,5.33,39.0,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.8,5.5,3.33,46.0,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.9,3.67,2.33,34.67,Llama-3.1-8B-Instruct,HUMOROUS,KCS
1.0,3.33,2.17,27.67,Llama-3.1-8B-Instruct,HUMOROUS,KCS
1.2,1.67,1.67,15.33,Llama-3.1-8B-Instruct,HUMOROUS,KCS
0.0,2.83,7.5,66.67,Qwen2.5-7B-Instruct,SAD,KCS
0.1,2.33,7.83,65.0,Qwen2.5-7B-Instruct,SAD,KCS
0.2,2.33,7.33,67.83,Qwen2.5-7B-Instruct,SAD,KCS
0.3,3.5,7.5,65.33,Qwen2.5-7B-Instruct,SAD,KCS
0.35,3.17,7.5,66.83,Qwen2.5-7B-Instruct,SAD,KCS
0.4,5.5,7.33,67.0,Qwen2.5-7B-Instruct,SAD,KCS
0.45,7.83,7.0,66.33,Qwen2.5-7B-Instruct,SAD,KCS
0.5,6.83,7.0,61.5,Qwen2.5-7B-Instruct,SAD,KCS
0.55,6.83,7.0,66.67,Qwen2.5-7B-Instruct,SAD,KCS
0.6,9.0,6.5,64.83,Qwen2.5-7B-Instruct,SAD,KCS
0.7,9.5,6.33,62.33,Qwen2.5-7B-Instruct,SAD,KCS
0.8,9.67,6.0,62.67,Qwen2.5-7B-Instruct,SAD,KCS
0.9,9.5,5.67,63.5,Qwen2.5-7B-Instruct,SAD,KCS
1.0,9.17,4.5,64.67,Qwen2.5-7B-Instruct,SAD,KCS
1.2,9.17,2.17,71.0,Qwen2.5-7B-Instruct,SAD,KCS
0.0,2.0,9.0,64.5,Qwen2.5-7B-Instruct,EVIL,KCS
0.1,2.5,7.83,63.67,Qwen2.5-7B-Instruct,EVIL,KCS
0.2,2.33,8.33,66.5,Qwen2.5-7B-Instruct,EVIL,KCS
0.3,2.83,7.33,65.67,Qwen2.5-7B-Instruct,EVIL,KCS
0.35,4.17,7.17,66.17,Qwen2.5-7B-Instruct,EVIL,KCS
0.4,5.0,6.67,64.33,Qwen2.5-7B-Instruct,EVIL,KCS
0.45,5.0,6.33,65.67,Qwen2.5-7B-Instruct,EVIL,KCS
0.5,5.67,6.33,60.67,Qwen2.5-7B-Instruct,EVIL,KCS
0.55,6.33,5.5,60.33,Qwen2.5-7B-Instruct,EVIL,KCS
0.6,7.0,6.17,66.0,Qwen2.5-7B-Instruct,EVIL,KCS
0.7,7.33,3.5,58.33,Qwen2.5-7B-Instruct,EVIL,KCS
0.8,7.33,3.0,53.83,Qwen2.5-7B-Instruct,EVIL,KCS
0.9,7.67,3.0,44.17,Qwen2.5-7B-Instruct,EVIL,KCS
1.0,7.67,2.17,48.67,Qwen2.5-7B-Instruct,EVIL,KCS
1.2,8.0,2.17,51.33,Qwen2.5-7B-Instruct,EVIL,KCS
0.0,6.0,7.67,68.17,Qwen2.5-7B-Instruct,JOY,KCS
0.1,6.67,8.5,63.17,Qwen2.5-7B-Instruct,JOY,KCS
0.2,6.33,8.0,63.67,Qwen2.5-7B-Instruct,JOY,KCS
0.3,7.17,7.83,59.33,Qwen2.5-7B-Instruct,JOY,KCS
0.35,7.17,8.17,54.17,Qwen2.5-7B-Instruct,JOY,KCS
0.4,7.33,7.83,65.83,Qwen2.5-7B-Instruct,JOY,KCS
0.45,6.67,7.17,62.0,Qwen2.5-7B-Instruct,JOY,KCS
0.5,7.5,7.67,63.83,Qwen2.5-7B-Instruct,JOY,KCS
0.55,8.0,7.83,59.67,Qwen2.5-7B-Instruct,JOY,KCS
0.6,7.83,7.67,64.33,Qwen2.5-7B-Instruct,JOY,KCS
0.7,8.0,7.0,63.83,Qwen2.5-7B-Instruct,JOY,KCS
0.8,8.17,7.5,65.5,Qwen2.5-7B-Instruct,JOY,KCS
0.9,8.17,6.33,64.83,Qwen2.5-7B-Instruct,JOY,KCS
1.0,8.0,5.83,67.5,Qwen2.5-7B-Instruct,JOY,KCS
1.2,7.67,5.0,64.67,Qwen2.5-7B-Instruct,JOY,KCS
0.0,6.5,8.0,64.5,Qwen2.5-7B-Instruct,KIND,KCS
0.1,7.17,7.83,70.83,Qwen2.5-7B-Instruct,KIND,KCS
0.2,7.33,7.67,66.5,Qwen2.5-7B-Instruct,KIND,KCS
0.3,7.67,7.5,69.67,Qwen2.5-7B-Instruct,KIND,KCS
0.35,8.17,7.5,71.67,Qwen2.5-7B-Instruct,KIND,KCS
0.4,7.0,6.67,71.17,Qwen2.5-7B-Instruct,KIND,KCS
0.45,8.67,6.67,70.0,Qwen2.5-7B-Instruct,KIND,KCS
0.5,9.17,7.0,68.5,Qwen2.5-7B-Instruct,KIND,KCS
0.55,8.33,6.67,69.83,Qwen2.5-7B-Instruct,KIND,KCS
0.6,8.17,6.0,70.0,Qwen2.5-7B-Instruct,KIND,KCS
0.7,8.17,6.0,68.33,Qwen2.5-7B-Instruct,KIND,KCS
0.8,8.33,4.83,66.17,Qwen2.5-7B-Instruct,KIND,KCS
0.9,7.33,4.33,64.83,Qwen2.5-7B-Instruct,KIND,KCS
1.0,7.17,4.17,64.5,Qwen2.5-7B-Instruct,KIND,KCS
1.2,6.5,3.67,63.67,Qwen2.5-7B-Instruct,KIND,KCS
0.0,5.0,8.67,66.0,Qwen2.5-7B-Instruct,HUMOROUS,KCS
0.1,5.0,8.67,64.33,Qwen2.5-7B-Instruct,HUMOROUS,KCS
0.2,5.17,8.83,66.67,Qwen2.5-7B-Instruct,HUMOROUS,KCS
0.3,5.0,8.33,61.83,Qwen2.5-7B-Instruct,HUMOROUS,KCS
0.35,5.33,8.33,61.33,Qwen2.5-7B-Instruct,HUMOROUS,KCS
0.4,5.33,7.67,60.67,Qwen2.5-7B-Instruct,HUMOROUS,KCS
0.45,5.67,8.33,60.17,Qwen2.5-7B-Instruct,HUMOROUS,KCS
0.5,5.67,8.0,59.83,Qwen2.5-7B-Instruct,HUMOROUS,KCS
0.55,5.67,7.5,58.83,Qwen2.5-7B-Instruct,HUMOROUS,KCS
0.6,4.83,5.83,63.0,Qwen2.5-7B-Instruct,HUMOROUS,KCS
0.7,5.67,6.0,50.17,Qwen2.5-7B-Instruct,HUMOROUS,KCS
0.8,4.0,4.0,49.0,Qwen2.5-7B-Instruct,HUMOROUS,KCS
0.9,4.17,3.67,33.67,Qwen2.5-7B-Instruct,HUMOROUS,KCS
1.0,4.33,3.0,29.0,Qwen2.5-7B-Instruct,HUMOROUS,KCS
1.2,2.33,2.17,18.17,Qwen2.5-7B-Instruct,HUMOROUS,KCS
0.0,3.33,8.0,56.33,google/gemma-2-9b-it,SAD,KCS
0.1,4.5,7.83,60.0,google/gemma-2-9b-it,SAD,KCS
0.2,5.17,7.83,56.33,google/gemma-2-9b-it,SAD,KCS
0.3,6.67,6.0,52.0,google/gemma-2-9b-it,SAD,KCS
0.4,6.0,4.17,54.67,google/gemma-2-9b-it,SAD,KCS
0.45,8.5,4.83,52.0,google/gemma-2-9b-it,SAD,KCS
0.5,7.5,3.17,50.0,google/gemma-2-9b-it,SAD,KCS
0.55,8.67,3.17,52.0,google/gemma-2-9b-it,SAD,KCS
0.6,7.33,3.0,55.0,google/gemma-2-9b-it,SAD,KCS
0.7,7.5,2.17,47.67,google/gemma-2-9b-it,SAD,KCS
0.8,7.83,2.17,54.5,google/gemma-2-9b-it,SAD,KCS
0.9,8.67,2.17,59.5,google/gemma-2-9b-it,SAD,KCS
1.0,8.33,2.17,69.67,google/gemma-2-9b-it,SAD,KCS
1.2,9.0,2.83,77.33,google/gemma-2-9b-it,SAD,KCS
0.0,2.17,8.0,55.33,google/gemma-2-9b-it,EVIL,KCS
0.1,2.5,8.67,54.5,google/gemma-2-9b-it,EVIL,KCS
0.2,5.5,6.83,55.67,google/gemma-2-9b-it,EVIL,KCS
0.3,5.5,5.33,51.67,google/gemma-2-9b-it,EVIL,KCS
0.4,8.0,2.17,48.17,google/gemma-2-9b-it,EVIL,KCS
0.45,6.5,1.5,39.83,google/gemma-2-9b-it,EVIL,KCS
0.5,5.83,1.17,28.17,google/gemma-2-9b-it,EVIL,KCS
0.55,5.83,0.83,18.0,google/gemma-2-9b-it,EVIL,KCS
0.6,5.5,0.67,11.0,google/gemma-2-9b-it,EVIL,KCS
0.7,5.83,1.17,10.67,google/gemma-2-9b-it,EVIL,KCS
0.8,8.67,1.5,13.67,google/gemma-2-9b-it,EVIL,KCS
0.9,9.0,1.83,31.83,google/gemma-2-9b-it,EVIL,KCS
1.0,10.0,2.0,50.5,google/gemma-2-9b-it,EVIL,KCS
1.2,10.0,2.0,71.83,google/gemma-2-9b-it,EVIL,KCS
0.0,6.0,7.5,57.67,google/gemma-2-9b-it,JOY,KCS
0.1,6.83,8.5,55.33,google/gemma-2-9b-it,JOY,KCS
0.2,7.5,7.83,38.67,google/gemma-2-9b-it,JOY,KCS
0.25,7.33,7.33,40.17,google/gemma-2-9b-it,JOY,KCS
0.3,7.67,8.0,42.0,google/gemma-2-9b-it,JOY,KCS
0.35,7.83,8.0,51.5,google/gemma-2-9b-it,JOY,KCS
0.4,8.0,6.33,39.17,google/gemma-2-9b-it,JOY,KCS
0.45,8.0,6.17,46.83,google/gemma-2-9b-it,JOY,KCS
0.5,7.67,4.67,43.83,google/gemma-2-9b-it,JOY,KCS
0.55,7.5,3.83,43.67,google/gemma-2-9b-it,JOY,KCS
0.6,7.67,3.5,43.67,google/gemma-2-9b-it,JOY,KCS
0.7,7.0,2.83,48.5,google/gemma-2-9b-it,JOY,KCS
0.8,7.17,3.17,46.67,google/gemma-2-9b-it,JOY,KCS
0.9,8.0,3.0,52.5,google/gemma-2-9b-it,JOY,KCS
0.0,6.67,8.0,58.17,google/gemma-2-9b-it,KIND,KCS
0.1,7.67,8.17,60.67,google/gemma-2-9b-it,KIND,KCS
0.2,7.33,7.5,55.17,google/gemma-2-9b-it,KIND,KCS
0.25,7.83,7.67,55.83,google/gemma-2-9b-it,KIND,KCS
0.3,8.17,7.33,62.83,google/gemma-2-9b-it,KIND,KCS
0.35,8.0,7.17,58.5,google/gemma-2-9b-it,KIND,KCS
0.4,8.33,6.17,57.0,google/gemma-2-9b-it,KIND,KCS
0.45,7.5,5.17,55.33,google/gemma-2-9b-it,KIND,KCS
0.5,7.0,4.33,58.5,google/gemma-2-9b-it,KIND,KCS
0.55,7.0,4.17,59.33,google/gemma-2-9b-it,KIND,KCS
0.6,7.33,4.17,58.83,google/gemma-2-9b-it,KIND,KCS
0.7,7.0,3.5,53.67,google/gemma-2-9b-it,KIND,KCS
0.8,7.67,3.33,59.17,google/gemma-2-9b-it,KIND,KCS
0.9,8.0,3.17,62.5,google/gemma-2-9b-it,KIND,KCS
0.0,5.0,8.83,56.17,google/gemma-2-9b-it,HUMOROUS,KCS
0.1,5.33,8.5,59.67,google/gemma-2-9b-it,HUMOROUS,KCS
0.2,5.33,8.17,53.83,google/gemma-2-9b-it,HUMOROUS,KCS
0.25,6.33,8.83,50.67,google/gemma-2-9b-it,HUMOROUS,KCS
0.3,6.67,8.33,40.0,google/gemma-2-9b-it,HUMOROUS,KCS
0.35,7.17,8.17,49.0,google/gemma-2-9b-it,HUMOROUS,KCS
0.4,6.83,7.83,36.83,google/gemma-2-9b-it,HUMOROUS,KCS
0.45,7.0,7.0,43.33,google/gemma-2-9b-it,HUMOROUS,KCS
0.5,6.5,6.33,41.0,google/gemma-2-9b-it,HUMOROUS,KCS
0.55,6.5,6.0,44.33,google/gemma-2-9b-it,HUMOROUS,KCS
0.6,6.33,4.83,40.67,google/gemma-2-9b-it,HUMOROUS,KCS
0.7,6.67,3.33,34.33,google/gemma-2-9b-it,HUMOROUS,KCS
0.8,3.0,2.0,29.83,google/gemma-2-9b-it,HUMOROUS,KCS
0.9,2.5,1.83,39.5,google/gemma-2-9b-it,HUMOROUS,KCS
0.0,4.0,7.83,56.33,mistralai/Mistral-7B-Instruct-v0.3,SAD,KCS
0.1,4.5,7.67,60.17,mistralai/Mistral-7B-Instruct-v0.3,SAD,KCS
0.2,4.5,8.5,57.33,mistralai/Mistral-7B-Instruct-v0.3,SAD,KCS
0.25,5.5,6.17,57.67,mistralai/Mistral-7B-Instruct-v0.3,SAD,KCS
0.3,6.0,7.5,56.67,mistralai/Mistral-7B-Instruct-v0.3,SAD,KCS
0.35,6.67,6.67,58.33,mistralai/Mistral-7B-Instruct-v0.3,SAD,KCS
0.4,8.67,7.17,57.67,mistralai/Mistral-7B-Instruct-v0.3,SAD,KCS
0.45,9.17,6.83,55.0,mistralai/Mistral-7B-Instruct-v0.3,SAD,KCS
0.5,7.5,5.5,60.17,mistralai/Mistral-7B-Instruct-v0.3,SAD,KCS
0.55,8.33,6.83,58.0,mistralai/Mistral-7B-Instruct-v0.3,SAD,KCS
0.6,9.5,6.5,58.0,mistralai/Mistral-7B-Instruct-v0.3,SAD,KCS
0.7,9.17,6.0,61.17,mistralai/Mistral-7B-Instruct-v0.3,SAD,KCS
0.8,9.5,5.17,58.5,mistralai/Mistral-7B-Instruct-v0.3,SAD,KCS
0.9,9.33,3.67,58.67,mistralai/Mistral-7B-Instruct-v0.3,SAD,KCS
0.0,2.67,7.83,59.33,mistralai/Mistral-7B-Instruct-v0.3,EVIL,KCS
0.1,3.17,8.17,57.83,mistralai/Mistral-7B-Instruct-v0.3,EVIL,KCS
0.2,3.83,7.67,55.33,mistralai/Mistral-7B-Instruct-v0.3,EVIL,KCS
0.25,4.5,6.67,55.33,mistralai/Mistral-7B-Instruct-v0.3,EVIL,KCS
0.3,5.33,6.17,49.83,mistralai/Mistral-7B-Instruct-v0.3,EVIL,KCS
0.35,5.83,6.33,52.17,mistralai/Mistral-7B-Instruct-v0.3,EVIL,KCS
0.4,5.67,6.0,58.17,mistralai/Mistral-7B-Instruct-v0.3,EVIL,KCS
0.45,7.67,4.33,51.17,mistralai/Mistral-7B-Instruct-v0.3,EVIL,KCS
0.5,5.5,4.0,42.17,mistralai/Mistral-7B-Instruct-v0.3,EVIL,KCS
0.55,6.0,3.5,44.17,mistralai/Mistral-7B-Instruct-v0.3,EVIL,KCS
0.6,6.33,3.67,37.67,mistralai/Mistral-7B-Instruct-v0.3,EVIL,KCS
0.7,6.33,3.0,34.83,mistralai/Mistral-7B-Instruct-v0.3,EVIL,KCS
0.8,7.17,2.17,39.5,mistralai/Mistral-7B-Instruct-v0.3,EVIL,KCS
0.9,6.67,1.67,25.5,mistralai/Mistral-7B-Instruct-v0.3,EVIL,KCS
0.0,6.0,7.67,56.5,mistralai/Mistral-7B-Instruct-v0.3,JOY,KCS
0.1,6.83,8.67,55.33,mistralai/Mistral-7B-Instruct-v0.3,JOY,KCS
0.2,6.83,7.83,55.17,mistralai/Mistral-7B-Instruct-v0.3,JOY,KCS
0.25,7.5,8.33,56.33,mistralai/Mistral-7B-Instruct-v0.3,JOY,KCS
0.3,6.83,7.67,54.83,mistralai/Mistral-7B-Instruct-v0.3,JOY,KCS
0.35,7.5,7.17,58.67,mistralai/Mistral-7B-Instruct-v0.3,JOY,KCS
0.4,7.83,7.33,54.0,mistralai/Mistral-7B-Instruct-v0.3,JOY,KCS
0.45,7.67,7.0,51.5,mistralai/Mistral-7B-Instruct-v0.3,JOY,KCS
0.5,7.67,6.5,55.17,mistralai/Mistral-7B-Instruct-v0.3,JOY,KCS
0.55,8.0,6.67,48.5,mistralai/Mistral-7B-Instruct-v0.3,JOY,KCS
0.6,8.0,6.33,46.5,mistralai/Mistral-7B-Instruct-v0.3,JOY,KCS
0.7,8.17,5.67,49.67,mistralai/Mistral-7B-Instruct-v0.3,JOY,KCS
0.8,7.5,5.5,44.5,mistralai/Mistral-7B-Instruct-v0.3,JOY,KCS
0.9,7.0,4.17,39.0,mistralai/Mistral-7B-Instruct-v0.3,JOY,KCS
0.0,6.67,6.83,58.5,mistralai/Mistral-7B-Instruct-v0.3,KIND,KCS
0.1,7.0,7.67,58.83,mistralai/Mistral-7B-Instruct-v0.3,KIND,KCS
0.2,8.33,7.17,60.83,mistralai/Mistral-7B-Instruct-v0.3,KIND,KCS
0.25,7.33,7.0,60.5,mistralai/Mistral-7B-Instruct-v0.3,KIND,KCS
0.3,8.17,7.0,63.67,mistralai/Mistral-7B-Instruct-v0.3,KIND,KCS
0.35,7.17,6.17,62.17,mistralai/Mistral-7B-Instruct-v0.3,KIND,KCS
0.4,8.0,6.0,60.0,mistralai/Mistral-7B-Instruct-v0.3,KIND,KCS
0.45,7.67,5.67,60.5,mistralai/Mistral-7B-Instruct-v0.3,KIND,KCS
0.5,8.33,6.83,61.17,mistralai/Mistral-7B-Instruct-v0.3,KIND,KCS
0.55,8.5,6.5,58.17,mistralai/Mistral-7B-Instruct-v0.3,KIND,KCS
0.6,7.17,5.33,59.5,mistralai/Mistral-7B-Instruct-v0.3,KIND,KCS
0.7,7.0,4.5,51.83,mistralai/Mistral-7B-Instruct-v0.3,KIND,KCS
0.8,6.17,3.83,55.33,mistralai/Mistral-7B-Instruct-v0.3,KIND,KCS
0.9,7.17,4.17,52.33,mistralai/Mistral-7B-Instruct-v0.3,KIND,KCS
0.0,5.0,8.67,59.83,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,KCS
0.1,4.83,8.33,54.33,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,KCS
0.2,5.67,8.33,45.33,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,KCS
0.25,5.67,7.5,52.5,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,KCS
0.3,6.0,8.17,53.83,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,KCS
0.35,5.67,7.5,48.0,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,KCS
0.4,7.0,5.83,42.83,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,KCS
0.45,6.5,5.67,48.0,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,KCS
0.5,6.5,5.33,39.17,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,KCS
0.55,6.83,5.0,41.0,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,KCS
0.6,6.17,5.17,39.0,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,KCS
0.7,5.0,4.17,41.5,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,KCS
0.8,4.17,3.0,34.5,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,KCS
0.9,2.17,1.67,19.0,mistralai/Mistral-7B-Instruct-v0.3,HUMOROUS,KCS
0.0,4.0,7.0,55.33,microsoft/Phi-3.5-mini-instruct,SAD,KCS
0.1,4.67,6.67,55.83,microsoft/Phi-3.5-mini-instruct,SAD,KCS
0.2,7.5,6.83,54.17,microsoft/Phi-3.5-mini-instruct,SAD,KCS
0.25,7.5,6.5,55.5,microsoft/Phi-3.5-mini-instruct,SAD,KCS
0.3,9.0,6.17,50.17,microsoft/Phi-3.5-mini-instruct,SAD,KCS
0.35,8.0,5.17,48.83,microsoft/Phi-3.5-mini-instruct,SAD,KCS
0.4,9.0,4.17,46.67,microsoft/Phi-3.5-mini-instruct,SAD,KCS
0.45,7.67,3.0,43.5,microsoft/Phi-3.5-mini-instruct,SAD,KCS
0.5,7.67,2.5,32.0,microsoft/Phi-3.5-mini-instruct,SAD,KCS
0.55,5.67,1.67,30.83,microsoft/Phi-3.5-mini-instruct,SAD,KCS
0.6,5.33,1.67,15.67,microsoft/Phi-3.5-mini-instruct,SAD,KCS
0.7,5.0,0.67,3.83,microsoft/Phi-3.5-mini-instruct,SAD,KCS
0.8,5.67,1.33,2.0,microsoft/Phi-3.5-mini-instruct,SAD,KCS
0.9,5.5,1.0,3.0,microsoft/Phi-3.5-mini-instruct,SAD,KCS
0.0,2.0,6.83,52.83,microsoft/Phi-3.5-mini-instruct,EVIL,KCS
0.1,5.83,3.67,45.5,microsoft/Phi-3.5-mini-instruct,EVIL,KCS
0.2,5.0,1.0,8.17,microsoft/Phi-3.5-mini-instruct,EVIL,KCS
0.25,5.0,1.0,7.5,microsoft/Phi-3.5-mini-instruct,EVIL,KCS
0.3,5.0,1.0,1.33,microsoft/Phi-3.5-mini-instruct,EVIL,KCS
0.35,5.0,1.0,1.17,microsoft/Phi-3.5-mini-instruct,EVIL,KCS
0.4,5.0,1.0,1.0,microsoft/Phi-3.5-mini-instruct,EVIL,KCS
0.45,5.0,0.83,1.0,microsoft/Phi-3.5-mini-instruct,EVIL,KCS
0.5,5.0,0.5,1.0,microsoft/Phi-3.5-mini-instruct,EVIL,KCS
0.55,5.0,0.67,1.5,microsoft/Phi-3.5-mini-instruct,EVIL,KCS
0.6,5.0,0.5,2.0,microsoft/Phi-3.5-mini-instruct,EVIL,KCS
0.7,5.0,1.0,13.33,microsoft/Phi-3.5-mini-instruct,EVIL,KCS
0.8,5.0,1.0,52.0,microsoft/Phi-3.5-mini-instruct,EVIL,KCS
0.9,5.0,1.0,68.17,microsoft/Phi-3.5-mini-instruct,EVIL,KCS
0.0,5.5,7.83,53.17,microsoft/Phi-3.5-mini-instruct,JOY,KCS
0.1,5.5,8.0,54.0,microsoft/Phi-3.5-mini-instruct,JOY,KCS
0.2,6.0,7.33,52.83,microsoft/Phi-3.5-mini-instruct,JOY,KCS
0.25,6.5,7.17,49.0,microsoft/Phi-3.5-mini-instruct,JOY,KCS
0.3,6.0,7.33,51.17,microsoft/Phi-3.5-mini-instruct,JOY,KCS
0.35,6.17,6.33,45.83,microsoft/Phi-3.5-mini-instruct,JOY,KCS
0.4,6.17,6.0,47.83,microsoft/Phi-3.5-mini-instruct,JOY,KCS
0.45,5.67,5.0,40.67,microsoft/Phi-3.5-mini-instruct,JOY,KCS
0.5,6.0,5.33,45.67,microsoft/Phi-3.5-mini-instruct,JOY,KCS
0.55,5.17,3.83,42.67,microsoft/Phi-3.5-mini-instruct,JOY,KCS
0.6,4.83,3.0,32.67,microsoft/Phi-3.5-mini-instruct,JOY,KCS
0.7,1.33,0.67,5.83,microsoft/Phi-3.5-mini-instruct,JOY,KCS
0.8,1.83,1.0,9.0,microsoft/Phi-3.5-mini-instruct,JOY,KCS
0.9,2.0,1.33,14.33,microsoft/Phi-3.5-mini-instruct,JOY,KCS
0.0,6.33,7.5,46.33,microsoft/Phi-3.5-mini-instruct,KIND,KCS
0.1,7.67,7.17,56.67,microsoft/Phi-3.5-mini-instruct,KIND,KCS
0.2,8.33,8.0,57.67,microsoft/Phi-3.5-mini-instruct,KIND,KCS
0.25,8.33,6.33,58.0,microsoft/Phi-3.5-mini-instruct,KIND,KCS
0.3,8.0,5.83,58.5,microsoft/Phi-3.5-mini-instruct,KIND,KCS
0.35,8.67,5.5,62.17,microsoft/Phi-3.5-mini-instruct,KIND,KCS
0.4,6.83,3.67,46.0,microsoft/Phi-3.5-mini-instruct,KIND,KCS
0.45,6.83,3.33,55.67,microsoft/Phi-3.5-mini-instruct,KIND,KCS
0.5,6.17,3.0,56.67,microsoft/Phi-3.5-mini-instruct,KIND,KCS
0.55,5.17,2.33,60.17,microsoft/Phi-3.5-mini-instruct,KIND,KCS
0.6,4.33,1.33,47.33,microsoft/Phi-3.5-mini-instruct,KIND,KCS
0.7,4.0,1.5,60.0,microsoft/Phi-3.5-mini-instruct,KIND,KCS
0.8,4.17,1.33,66.5,microsoft/Phi-3.5-mini-instruct,KIND,KCS
0.9,3.67,2.0,77.33,microsoft/Phi-3.5-mini-instruct,KIND,KCS
0.0,5.0,8.83,56.0,microsoft/Phi-3.5-mini-instruct,HUMOROUS,KCS
0.1,5.0,8.0,52.5,microsoft/Phi-3.5-mini-instruct,HUMOROUS,KCS
0.2,6.17,7.5,49.0,microsoft/Phi-3.5-mini-instruct,HUMOROUS,KCS
0.25,6.17,7.5,45.5,microsoft/Phi-3.5-mini-instruct,HUMOROUS,KCS
0.3,6.33,5.0,32.83,microsoft/Phi-3.5-mini-instruct,HUMOROUS,KCS
0.35,5.17,3.0,34.67,microsoft/Phi-3.5-mini-instruct,HUMOROUS,KCS
0.4,4.17,2.33,11.5,microsoft/Phi-3.5-mini-instruct,HUMOROUS,KCS
0.45,3.83,2.33,19.83,microsoft/Phi-3.5-mini-instruct,HUMOROUS,KCS
0.5,3.33,2.33,11.5,microsoft/Phi-3.5-mini-instruct,HUMOROUS,KCS
0.55,2.67,1.83,11.17,microsoft/Phi-3.5-mini-instruct,HUMOROUS,KCS
0.6,2.67,1.83,15.5,microsoft/Phi-3.5-mini-instruct,HUMOROUS,KCS
0.7,2.0,1.5,5.17,microsoft/Phi-3.5-mini-instruct,HUMOROUS,KCS
0.8,1.33,1.33,3.17,microsoft/Phi-3.5-mini-instruct,HUMOROUS,KCS
0.9,1.0,0.83,3.67,microsoft/Phi-3.5-mini-instruct,HUMOROUS,KCS
